amplitud_inicial,frecuencia_inicial,amplitud_final,frecuencia_final,gasto_estimado
0.277399452,23.4375,0.294741263,23.4375,0.24416219
0.337817835,46.875,0.351370875,46.875,0.24420704
0.348769592,70.3125,0.342607127,70.3125,0.24425225
0.506142985,93.75,1.554332983,93.75,0.24429306
0.529544516,117.1875,0.584052788,117.1875,0.24434136
1.291908033,140.625,2.544594556,140.625,0.24437794
0.72530608,164.0625,2.03428298,164.0625,0.24442649
0.385992799,187.5,1.877268609,187.5,0.24447323
0.185330907,210.9375,1.956280129,210.9375,0.24451879
0.181931734,234.375,0.354549502,234.375,0.24456921
0.033199387,257.8125,0.735957799,257.8125,0.24461363
0.661180598,281.25,0.333249379,281.25,0.24465828
0.147773503,304.6875,1.58202081,304.6875,0.24470098
0.144504302,328.125,1.236717438,328.125,0.24474733
0.071386292,351.5625,2.093319485,351.5625,0.24478997
1.104411609,375.0,2.271992799,375.0,0.24483153
0.916785661,398.4375,3.270522325,398.4375,0.24487226
0.437494544,421.875,1.652484238,421.875,0.24491853
0.438375652,445.3125,4.725319837,445.3125,0.24494575
0.604752848,468.75,25.35325597,468.75,0.24490671
0.506751148,492.1875,8.553808175,492.1875,0.24500866
0.216724193,515.625,7.556926455,515.625,0.24505201
0.477726995,539.0625,7.470786497,539.0625,0.24509026
0.439227932,562.5,9.776232419,562.5,0.24511763
0.303636552,585.9375,2.280282909,585.9375,0.2451728
0.261876822,609.375,5.283939055,609.375,0.24518755
0.15092062,632.8125,0.612092904,632.8125,0.2452317
0.29449949,656.25,4.352034118,656.25,0.24524087
0.373316005,679.6875,1.663838483,679.6875,0.24527541
0.241287675,703.125,1.336977949,703.125,0.24530132
0.186678059,726.5625,2.901332165,726.5625,0.24531959
0.470718686,750.0,4.395735577,750.0,0.24533716
0.491942631,773.4375,1.996306306,773.4375,0.24537075
0.300692469,796.875,1.765773328,796.875,0.24539644
0.636199084,820.3125,2.068192588,820.3125,0.24541852
0.621827921,843.75,2.781010326,843.75,0.24544
0.486186322,867.1875,2.495232431,867.1875,0.24546577
0.496134924,890.625,1.776808795,890.625,0.24549279
0.437303292,914.0625,2.887273897,914.0625,0.24550405
0.297605911,937.5,4.681273452,937.5,0.24551056
0.362234962,960.9375,2.753219306,960.9375,0.24553205
0.166861046,984.375,3.411184439,984.375,0.24554092
0.139592047,1007.8125,2.21894793,1007.8125,0.24554963
0.386887451,1031.25,3.350666228,1031.25,0.24554785
0.184676299,1054.6875,4.51117466,1054.6875,0.24552839
0.290889519,1078.125,3.481652553,1078.125,0.24548338
0.333061586,1101.5625,5.140420813,1101.5625,0.24542558
0.419820392,1125.0,1.114978722,1125.0,0.2453897
0.343644971,1148.4375,2.646116764,1148.4375,0.24533276
0.075248376,1171.875,3.030263191,1171.875,0.24527861
0.083828752,1195.3125,0.9735018,1195.3125,0.24522796
0.30213802,1218.75,1.427624957,1218.75,0.24516755
0.359109145,1242.1875,0.320379337,1242.1875,0.24511331
0.275936482,1265.625,0.925954247,1265.625,0.24505329
0.312535565,1289.0625,0.719721363,1289.0625,0.24499585
0.32461405,1312.5,0.483375395,1312.5,0.24493858
0.405965612,1335.9375,0.189901379,1335.9375,0.2448813
